epoch,epoch_steps,tot_steps,tot_run_time,epsilon
0,1828,1829,0 days 00:05:36.135334000,0.0001
1,157,1987,0 days 00:06:03.243213000,0.0001
2,164,2152,0 days 00:06:33.817990000,0.0001
3,529,2682,0 days 00:07:51.252229000,0.0001
4,1352,4035,0 days 00:11:11.952255000,0.0001
5,671,4707,0 days 00:12:38.799104000,0.0001
6,1896,6604,0 days 00:17:14.112618000,0.0001
7,99,6704,0 days 00:17:35.493151000,0.0001
8,411,7116,0 days 00:18:42.875372000,0.0001
9,317,7434,0 days 00:19:35.120506000,0.0001
10,151,7586,0 days 00:20:02.911689000,0.0001
11,392,7979,0 days 00:21:04.626366000,0.0001
12,1019,8999,0 days 00:23:45.519861000,0.0001
13,3106,12106,0 days 01:01:03.739769000,7.846934003526093e-05
14,878,12985,0 days 01:11:33.836121000,7.091694197089298e-05
15,1529,14515,0 days 01:29:57.904573000,5.946343591655589e-05
16,1351,15867,0 days 01:46:20.026422000,5.089205642284954e-05
17,649,16517,0 days 01:54:12.868091000,4.722261142217924e-05
18,105,16623,0 days 01:55:34.975995000,4.664982297055773e-05
19,33,16657,0 days 01:56:02.743553000,4.646757408246664e-05
20,539,17197,0 days 02:02:26.182584000,4.366666255068202e-05
21,657,17855,0 days 02:10:28.375976000,4.0480885134634043e-05
22,643,18499,0 days 02:18:09.313596000,3.758806766594301e-05
23,1399,19899,0 days 02:35:17.846013000,3.19926341730069e-05
24,2350,22250,0 days 03:04:03.468255000,2.440619068040594e-05
25,340,22591,0 days 03:08:24.417411000,2.346659078021743e-05
26,864,23456,0 days 03:18:53.998886000,2.1242224773873692e-05
27,45,23502,0 days 03:19:31.717478000,2.113002447022806e-05
28,601,24104,0 days 03:26:46.151055000,1.9715146109952957e-05
29,1177,25282,0 days 03:41:02.478924000,1.7214721457358605e-05
30,522,25805,0 days 03:47:27.637916000,1.6208767770762326e-05
31,955,26761,0 days 03:59:01.471639000,1.4519444466817312e-05
32,1298,28060,0 days 04:15:02.876431000,1.2502590302166765e-05
33,1374,29435,0 days 04:31:57.343335000,1.0672102800637066e-05
34,1537,30973,0 days 04:51:03.906727000,9.999999999990714e-06
35,773,31747,0 days 05:00:41.809479000,9.999999999990714e-06
36,718,32466,0 days 05:09:36.342375000,9.999999999990714e-06
37,471,32938,0 days 05:15:27.625492000,9.999999999990714e-06
38,821,33760,0 days 05:25:35.801291000,9.999999999990714e-06
39,933,34694,0 days 05:37:22.108858000,9.999999999990714e-06
40,741,35436,0 days 05:46:35.096765000,9.999999999990714e-06
41,708,36145,0 days 05:55:16.601388000,9.999999999990714e-06
42,349,36495,0 days 05:59:47.495490000,9.999999999990714e-06
43,803,37299,0 days 06:09:57.132224000,9.999999999990714e-06
44,581,37881,0 days 06:17:36.809442000,9.999999999990714e-06
45,65,37947,0 days 06:18:30.250260000,9.999999999990714e-06
46,2147,40095,0 days 06:45:55.047775000,9.999999999990714e-06
47,705,40801,0 days 06:55:05.769636000,9.999999999990714e-06
48,795,41597,0 days 07:05:16.570383000,9.999999999990714e-06
49,1379,42977,0 days 07:23:12.489953000,9.999999999990714e-06
50,166,43144,0 days 07:25:26.656860000,9.999999999990714e-06
51,1515,44660,0 days 07:44:50.331794000,9.999999999990714e-06
52,693,45354,0 days 07:54:06.440173000,9.999999999990714e-06
53,21,45376,0 days 07:54:26.296112000,9.999999999990714e-06
54,1161,46538,0 days 08:09:49.911708000,9.999999999990714e-06
55,584,47123,0 days 08:17:35.263040000,9.999999999990714e-06
56,660,47784,0 days 08:26:13.305980000,9.999999999990714e-06
57,382,48167,0 days 08:31:16.396995000,9.999999999990714e-06
58,752,48920,0 days 08:40:59.530418000,9.999999999990714e-06
59,2353,51274,0 days 09:12:01.866505000,9.999999999990714e-06
60,1042,52317,0 days 09:25:43.625889000,9.999999999990714e-06
61,1378,53696,0 days 09:43:57.498976000,9.999999999990714e-06
62,363,54060,0 days 09:49:06.936175000,9.999999999990714e-06
63,875,54936,0 days 10:01:37.859368000,9.999999999990714e-06
